node_id,label,label_id,f10001,f10002,f10003,f10004,f10005,f10006,f10007,f10008,f10009,f10010,f10011,f10012,f10013,f10014,f10015,f10016,f10017,f10018,f10019,f10020,f10021,f10022,f10023,f10024,f10025,f10026,f10027,f10028,f10029,f10030,f10031,f10032
kobs_state-3c5266f5-d403-11ec-bedf-00155d8545fd,target_access_kubernetes_dashboard,1005,0,,0.00098408230862974,,0.02427567618421279,0.01925154544265922,0.09814626761053134,0.02009403153651911,,,0.056507720767315195,,0.009918311855968746,,0.0010151159328103754,0.06570798050346567,,,,,,0.0009515710131761945,0.0006947651091639968,0.009612038236229685,,0.0026217568356906623,,,,,,0
kobs_state-3c526730-d403-11ec-9897-00155d8545fd,target_access_kubernetes_dashboard,1005,0,,0.0009541331704646535,,0.02506121845535756,0.020381743711970348,0.09844903687650004,0.019963137242820932,,,,,0.009855985780583639,0.052742123830004664,0.000956997111848119,,,,,,,0.0010155782078587058,0.006878264995120006,0.009598511829989723,0.003460091022664827,,,,,0.05962022742925843,,
kobs_state-3c527e20-d403-11ec-882b-00155d8545fd,target_hostpath_mount,1022,0,,0.0009907766183363384,0,0.02506121845535756,0.019447396530919547,0.09557512649026847,0.02009403153651911,,,0.1875803959411577,,,,0.0009828063435456615,,,,,0,,0.000975825648443333,,0.010037944141109733,0.009795955210065788,,0,0.06769158587122988,,,0,
kobs_state-3c527f21-d403-11ec-8105-00155d8545fd,target_hostpath_mount,1022,0.0009652185186721799,,0.0009541331704646535,0,0.02436266861361692,0.019040981081026278,0.09557512649026847,0.020307388767266475,,,,,,,0.0010106381935462568,,,,,,,0.0009541380846235505,,0.010021116635280585,0.009710972217655744,,0.0009450155180536824,,0.0008757246353908798,,,
kobs_state-3c527f59-d403-11ec-a734-00155d8545fd,target_hostpath_mount,1022,0.0006729561935564431,,0.0010181827491977627,0,0.0253980093226606,0.02005384012983871,0.09814626761053134,0.019806166127964507,,,,0.037256273813408756,,0.013000902093141527,0.0010098726896688535,0.05807567020808092,0,,,,,0.0009789395052206993,,0.010037944141109733,0.009980498690123412,,,,,0.06529541484559918,,0.009490420400693894
kobs_state-3c52b059-d403-11ec-8113-00155d8545fd,target_pod_container_name_similarity,1029,0,,0.0009995658280467098,,0.025112661749778133,0.019447396530919547,0.09844903687650004,0.019825910017148646,,,,,0.0013752225808022235,,0.0009896494681699128,0.09864863144081348,,0.0638329145732776,,,,0.0010166805674534504,,0.009515593960835607,0.007303557888716838,,,0.19007444138393517,,,,0.009256595563837058
kobs_state-3c52b0c9-d403-11ec-860d-00155d8545fd,target_pod_container_name_similarity,1029,0,,0.0009812989096920988,,0.02515593177128217,0.020385848005622972,0.09500400370792343,0.01958690639259855,,,,,,0.03423793853851854,0.0009896494681699128,0.09616783880701797,,,,,0.018808526147396133,0.0009541380846235505,,0.01003300893491373,,0,,0.19171754077137676,,0.02042411813473706,0,
kobs_state-3c52c7b7-d403-11ec-95ce-00155d8545fd,target_backdoor_container,1010,0.0005067883254351137,,0.00098408230862974,,0.02515593177128217,0.01949577326377291,0.09551311654966266,0.019806166127964507,,,0.2150670108431922,0.0024071888007205526,,,0.0009981315980066602,0.09552986355269659,,,,,,0.0009789395052206993,,0.009612038236229685,0.0013060936369342305,0.009712744084647477,0,,,0.016379951363248397,,0.0009628887620356763
kobs_state-3c52e0b5-d403-11ec-ab63-00155d8545fd,target_network_mapping,1027,0.0004777942412511745,0,0.0009541331704646535,,0.02506121845535756,0.019989440074410593,0.09554043837645132,0.02009403153651911,,,0.021514809533833387,0.0020850309454347672,,,0.0010037354704468464,,,,0.07048025096878537,,,0.0009587023597850537,0.009667562496190349,0.00952112799503585,,,,,,0.016379951363248397,,
kobs_state-3c52e122-d403-11ec-93f4-00155d8545fd,target_network_mapping,1027,0.000645737041467248,,0.0009763331732453969,,0.025112661749778133,0.02005384012983871,0.09551311654966266,0.019806166127964507,,,0.1054671852175965,0.12082984610844141,,,0.0010037354704468464,0.06808569803577862,,,0.01299369020932834,0,0.004843042487544246,0.0010067467386706628,0.010141436878527388,0.01003300893491373,,,,,,,0.002122280918720019,
