label_id,label
1001,global_obstate
1002,target_access_cloud_resources
1003,target_access_container_service_account
1004,target_access_kubelet_api
1005,target_access_kubernetes_dashboard
1006,target_access_the_kubernetes_api_server
1007,target_application_credentials_in_configuration_files
1008,target_application_exploit
1009,target_applications_credentials_in_configuration_files
1010,target_backdoor_container
1011,target_clear_container_logs
1012,target_cluster-admin_binding
1013,target_cluster_internal_networking
1014,target_compromised_images_in_registry
1015,target_container_service_account
1016,target_coredns_poisoning
1017,target_data_destruction
1018,target_delete_kubernetes_events
1019,target_denial_of_service
1020,target_exec_into_container
1021,target_exposed_sensitive_interfaces
1022,target_hostpath_mount
1023,target_kubernetes_cronjob
1024,target_list_kubernetes_secrets
1025,target_malicious_admission_controller
1026,target_mount_service_principal
1027,target_network_mapping
1028,target_new_container
1029,target_pod_container_name_similarity
1030,target_privileged_container
1031,target_resource_hijacking
1032,target_sidecar_injection
1033,target_ssh_server_running_inside_container
1034,target_using_cloud_credentials
1035,target_vulnerable_application
1036,target_writable_hostpath_mount
1037,target_writable_volume_mounts_on_the_host
