id,name,kmval
kmeasure-3c490f00-d403-11ec-bb60-00155d8545fd,ssh_port_exposure_activity,0.010015694547703517
kmeasure-3c497ab0-d403-11ec-bf24-00155d8545fd,ssh_port_exposure_activity,0.009657711369023061
kmeasure-3c497bc4-d403-11ec-91d3-00155d8545fd,ssh_port_exposure_activity,0.009896653724194423
kmeasure-3c497c64-d403-11ec-9bbb-00155d8545fd,ssh_port_exposure_activity,0.010189697090586132
kmeasure-3c497d70-d403-11ec-b6e6-00155d8545fd,ssh_port_exposure_activity,0.009936249746738419
kmeasure-3c497dff-d403-11ec-a4db-00155d8545fd,ssh_port_exposure_activity,0.009504191781072303
kmeasure-3c497ef9-d403-11ec-82c9-00155d8545fd,ssh_port_exposure_activity,0.009690358009434654
kmeasure-3c497f70-d403-11ec-ae92-00155d8545fd,ssh_port_exposure_activity,0.00998636034806013
kmeasure-3c497ff5-d403-11ec-a181-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c4980ee-d403-11ec-ab5e-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c498182-d403-11ec-bb15-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c498210-d403-11ec-9324-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c498298-d403-11ec-9310-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c49831a-d403-11ec-8d7c-00155d8545fd,ssh_port_exposure_activity,0.007341304322082899
kmeasure-3c4983a5-d403-11ec-b535-00155d8545fd,ssh_port_exposure_activity,0.0013446141697168467
kmeasure-3c498430-d403-11ec-aef9-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c4984b9-d403-11ec-bfc7-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c49853f-d403-11ec-a638-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c4985c3-d403-11ec-8950-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c498659-d403-11ec-8d5b-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c4986e2-d403-11ec-b2ce-00155d8545fd,ssh_port_exposure_activity,0.00012722110819844657
kmeasure-3c498769-d403-11ec-b9db-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c4987eb-d403-11ec-846b-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c49886f-d403-11ec-839f-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c4988f0-d403-11ec-bb13-00155d8545fd,ssh_port_exposure_activity,0.0006631369940012438
kmeasure-3c498977-d403-11ec-bb64-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c4989fc-d403-11ec-b595-00155d8545fd,ssh_port_exposure_activity,0.0016474790329836972
kmeasure-3c498a81-d403-11ec-a0a8-00155d8545fd,ssh_port_exposure_activity,0.0001608957813316178
kmeasure-3c498b05-d403-11ec-86b5-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c498b88-d403-11ec-946d-00155d8545fd,ssh_port_exposure_activity,0.0015867320094656823
kmeasure-3c498c15-d403-11ec-aa1f-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c498cb0-d403-11ec-ac02-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c498d3a-d403-11ec-824a-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c498dbe-d403-11ec-8d95-00155d8545fd,ssh_port_exposure_activity,0.001625538225287618
kmeasure-3c498e41-d403-11ec-8bee-00155d8545fd,ssh_port_exposure_activity,0.0007575678806352315
kmeasure-3c498ed0-d403-11ec-98b0-00155d8545fd,ssh_port_exposure_activity,0.0002976001339887725
kmeasure-3c4990aa-d403-11ec-b39c-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c499270-d403-11ec-bb70-00155d8545fd,ssh_port_exposure_activity,0.003139275015902532
kmeasure-3c49931d-d403-11ec-afac-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c4993b4-d403-11ec-bf1c-00155d8545fd,ssh_port_exposure_activity,0.0022668749241255724
kmeasure-3c499446-d403-11ec-8335-00155d8545fd,ssh_port_exposure_activity,0.0
kmeasure-3c4995aa-d403-11ec-814f-00155d8545fd,ssh_port_exposure_activity,0.0048375671934729235
